country,long,lat,authors,updated long,updated lat,Error
Afghanistan,67.85,34.33,"Popp, 1985",NA,NA,0
Afghanistan,67.94,33.87,"Popp, B. N., Anderson, T. F., and Sandberg, P. A., 1986",NA,NA,0
Algeria,27.35,0.32,"Popp, B. N., Anderson, T. F., and Sandberg, P. A., 1986",NA,NA,0
Algeria,30.5,2.3,"Popp, B. N., Anderson, T. F., and Sandberg, P. A., 1986",NA,NA,0
Antarctic,-57.36,-64.33,"Ditchfield, P., Marshall, J., and Pirrie, D., 1994",NA,NA,0
Antarctic,-68.4,-70.7,"Ditchfield, P., Marshall, J., and Pirrie, D., 1994",NA,NA,0
Antarctic,153.39,-27.31,"Dorman, F.H., and Gill, E.D., 1959",NA,NA,0
Antarctica,-56.75,-64.28,"Dutton, A.L., Lohmann, K.C., Zinsmeister, W.J., 2002",NA,NA,0
Antarctica,-56.75,-64.23,"Buick, D.P., and Ivany, L.C., 2004",NA,NA,0
Antarctica,-56.61,-64.23,"Morrison, J.O., 1991",NA,NA,0
Antarctica,-56.62,-64.23,"Morrison, J.O., 1991",NA,NA,0
Antarctica,-63.75,-57.92,"Pirrie, D., and Marshall, J.D., 1990",NA,NA,0
Antarctica,-56.79,-64.26,"Dutton, A., Huber, B.T., Lohmann, K.C., and Zinsmeister, W.J., 2007",NA,NA,0
Arctic,28.36,78.9,"Ditchfield, P.W., 1997",NA,NA,0
Argentina,-72.13,-49.03,"Pirrie, D., Marshall, J., Doyle, P., and Riccardi, A., 2004",NA,NA,0
Argentina,-46.98,-51.01,"Price, G., and Sellwood, B., 1997",NA,NA,0
Argentina,-46.88,-50.92,"Price, G., and Sellwood, B., 1997",NA,NA,0
Argentina,-68.75,-30.22,"Albanesi, G.L., Barners, C.R., Trotter, J.A. Williams, I.S., Bergstroem, S. M., 2019",NA,NA,0
Argentina,-68.76,-30.22,"Albanesi, G.L., Barners, C.R., Trotter, J.A. Williams, I.S., Bergstroem, S. M., 2019",NA,NA,0
Argentinia,-68.06,-53.82,"Morrison, J.O., 1991",NA,NA,0
Atlantic,-155.07,1.6,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-110.57,2.77,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-95.32,0.19,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-86.44,5.84,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-86.44,5.84,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-86.44,5.84,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-84.37,23.84,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-84.37,23.84,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-79.87,16.55,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-79.87,16.55,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-79.87,16.55,"Franz, Sven-Oliver, 1999",NA,NA,0
Atlantic,-79.87,16.55,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-78.74,12.74,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-78.74,12.74,"Franz, Sven-Oliver, 1999",NA,NA,0
Atlantic,-78.74,12.74,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-78.74,12.74,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-76.62,29.95,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.62,29.95,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-76.62,29.95,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-76.62,29.95,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-76.23,30.08,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.23,30.08,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-76.23,30.08,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-76.18,29.13,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-76.18,29.13,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.18,29.91,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.18,29.91,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-76.18,29.91,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-76.12,30.15,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.12,30.15,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-76.12,30.15,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-76.11,30.14,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-76.11,30.14,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-76.11,30.14,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-54.73,9.43,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-54.73,9.43,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-54.73,9.43,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-54.73,9.43,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-54.54,9.27,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-54.54,9.27,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-54.54,9.27,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-54.54,9.25,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-54.54,9.25,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-54.54,9.25,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-54.2,9.3,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-54.2,9.3,"Groeneveld, Jeroen, 2005",NA,NA,0
Atlantic,-54.2,9.3,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-54.2,9.3,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-51.67,40.37,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-51.67,40.37,"Tiedemann, Ralf, 1991",NA,NA,0
Atlantic,-51.66,40.36,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-43.04,3.76,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-21.03,18.08,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,-21.03,18.08,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,0
Atlantic,-19.85,5.67,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,1.2,-65.17,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,2.99,-29.07,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,9.87,52.42,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,0
Atlantic,39.55,-9.2,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,1
Atlantic,39.55,-9.2,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,1
Atlantic,39.62,-10.07,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,1
Atlantic,39.68,-10,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,1
Atlantic,39.68,-10,"Shackleton, N.J., Hall, M.A., 1997",NA,NA,1
Atlantic,39.97,-10.03,"Haug, Gerald H; Tiedemann, Ralf; Zahn, Rainer; Ravelo, Ana Christina, 2001",NA,NA,1
Atlantic,39.97,-10.03,"Shackleton, N.J., Hall, M.A., 1997",NA,NA,1
Atlantic,39.97,-10.03,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,1
Atlantic,43.49,4.2,"Shackleton, N.J., Hall, M.A., 1997",NA,NA,1
Atlantic,59.8,16.62,"Chaisson, W.P. & Ravelo, A., 1997",NA,NA,1
Atlantic,59.8,16.63,"Shackleton, N.J., Hall, M.A., 1997",NA,NA,1
