"","index","name","midp","base","top","climate","period"
"97",97,"Holocene",0.00585,0.0117,0,"cold","11"
"96",96,"Pleistocene",1.29585,2.58,0.0117,"cold","11"
"95",95,"Piacenzian",3.09,3.6,2.58,"cold","11"
"94",94,"Zanclean",4.4665,5.333,3.6,"cold","11"
"93",93,"Messinian",6.2895,7.246,5.333,"cold","11"
"92",92,"Tortonian",9.438,11.63,7.246,"cold","11"
"91",91,"Serravallian",12.725,13.82,11.63,"cold","11"
"90",90,"Langhian",14.895,15.97,13.82,"cold","11"
"89",89,"Burdigalian",18.205,20.44,15.97,"cold","11"
"88",88,"Aquitanian",21.735,23.03,20.44,"cold","11"
"87",87,"Chattian",25.565,28.1,23.03,"cold","10"
"86",86,"Rupelian",31,33.9,28.1,"cold","10"
"85",85,"Priabonian",35.85,37.8,33.9,"warm","10"
"84",84,"Bartonian",39.5,41.2,37.8,"warm","10"
"83",83,"Lutetian",44.5,47.8,41.2,"warm","10"
"82",82,"Ypresian",51.9,56,47.8,"warm","10"
"81",81,"Thanetian",57.6,59.2,56,"warm","10"
"80",80,"Selandian",60.4,61.6,59.2,"warm","10"
"79",79,"Danian",63.8,66,61.6,"warm","10"
"78",78,"Maastrichtian",69.05,72.1,66,"warm","9"
"77",77,"Campanian",77.85,83.6,72.1,"warm","9"
"76",76,"Santonian",84.95,86.3,83.6,"warm","9"
"75",75,"Coniacian",88.05,89.8,86.3,"warm","9"
"74",74,"Turonian",91.85,93.9,89.8,"warm","9"
"73",73,"Cenomanian",97.2,100.5,93.9,"warm","9"
"72",72,"Albian",106.75,113,100.5,"warm","9"
"71",71,"Aptian",119,125,113,"cold","9"
"70",70,"Barremian",127.2,129.4,125,"cold","9"
"69",69,"Hauterivian",131.15,132.9,129.4,"cold","9"
"68",68,"Valanginian",136.35,139.8,132.9,"cold","9"
"67",67,"Berriasian",142.4,145,139.8,"cold","9"
"66",66,"Tithonian",148.55,152.1,145,"warm","8"
"65",65,"Kimmeridgian",154.7,157.3,152.1,"warm","8"
"64",64,"Oxfordian",160.4,163.5,157.3,"warm","8"
"63",63,"Callovian",164.8,166.1,163.5,"cold","8"
"62",62,"Bathonian",167.2,168.3,166.1,"cold","8"
"61",61,"Bajocian",169.3,170.3,168.3,"cold","8"
"60",60,"Aalenian",172.2,174.1,170.3,"warm","8"
"59",59,"Toarcian",178.4,182.7,174.1,"warm","8"
"58",58,"Pliensbachian",186.75,190.8,182.7,"warm","8"
"57",57,"Sinemurian",195.05,199.3,190.8,"warm","8"
"56",56,"Hettangian",200.3,201.3,199.3,"warm","8"
"55",55,"Rhaetian",205.05,208.8,201.3,"warm","7"
