location,latitude,longitude,paleolat,paleolng,age,sample_type,method,MAT,SE_plus,SE_minus,reference
" ODP 690, South Atlantic ocean",-65.2,1.2,-66,-7, Lower Ypresian, Planktic foraminifera, ?18O,13,0.7,0.7," Ho et al., 2016"
" ODP 738, Indian ocean",-62.7,82.8,-64,78, Lower Ypresian, Planktic foraminifera, ?18O,14,0.7,0.7," Ho et al., 2016 "
" ODP 1172, Tasman sea",-44,149.9,-64,162, Lower Ypresian, GDGTs, TEX86,29,0.6,0.6," Ho et al., 2016"
" U1356A, Indian ocean",-63.2,135.6,-63.6,132.1, Lower Eocene, GDGTs, TEX86,34.5,5,3.7," Bijl et al., 2013; Naafs et al., 2018"
" DSDP 277, Pacific ocean",-52.2,166.2,-61.8,-170.4, Lower Eocene, mixed-layer foraminifera, Mg/Ca,27.8,4,4, Evans et al. 2018 calculated from data in Hines et al. 2017
" Hampden Beach, New Zealand",-45.3,170.5,-55.4,-163.1, Lower Eocene, GDGTs, TEX86,33.4,4.8,3.7," Inglis et al,. 2015; Naafs et al., 2018"
" Hampden Beach, New Zealand",-45.3,170.5,-55.4,-163.1, Lower Eocene, mixed-layer foraminifera, Mg/Ca,25.2,4,4, Evans et al. 2018 calculated from data in Hines et al. 2017
" Tora, New Zealand",-41.4,175.6,-53.2,-170.2, Lower Eocene, mixed-layer foraminifera, Mg/Ca,26.2,4,4, Evans et al. 2018 calculated from data in Hines et al. 2017
" Waipara River, New Zealand",-43.2,172.8,-53,-160, Lower Ypresian, Planktic foraminifera, Mg/Ca,25.5,1.1,1.1," Ho et al., 2016"
" Waipara River, New Zealand",-43.2,172.8,-53,-160, Lower Ypresian, GDGTs, TEX86,31.5,0.6,0.6," Ho et al., 2016"
" Tawanui, New Zealand",-40.2,176.6,-51.7,-170.3, Lower Eocene, mixed-layer foraminifera, Mg/Ca,24.9,4,4, Evans et al. 2018 calculated from data in Hines et al. 2017
" DSDP 527, South Atlantic ocean",-28,1.8,-35,-10, Lower Ypresian, Planktic foraminifera, Mg/Ca,27,1.1,1.1," Ho et al., 2016"
" DSDP Site 527, Angola Basin, South Atlantic ocean",-15,3,-23,-7, Upper Paleocene to P/E boundary, Planktic foraminifera, Mg/Ca,29.9,0.5,0.5," Jones et al., 2013  calculated from data in Tripati and Elderfield, 2004"
" DSDP Site 528, Angola Basin, South Atlantic ocean",-15,3,-22,-7, Upper Paleocene to P/E boundary, Planktic foraminifera, ?18O,18.2,0.6,0.6," Jones et al., 2013  calculated from data in Thomas et al., 1999"
 Tanzania (TDP),-7.8,39.1,-18,31, Lower Ypresian, GDGTs, TEX86,33,0.6,0.6," Ho et al., 2016"
 Tanzania (TDP),-7.8,39.1,-18,31, Lower Ypresian, Planktic foraminifera, ?18O,29,0.7,0.7," Ho et al., 2016"
 Tanzania,-6,30,-16,22, P/E boundary, GDGTs, TEX86,34,2.5,2.5," Hollis et al., 2012"
 Tanzania,-6,30,-16,22, P/E boundary, Planktic foraminifera, ?18O,32.5,2,2," Hollis et al., 2012"
" Kutch, India",23.5,68.6,-4.3,59.1, Lower Eocene, mixed-layer foraminifera, Clumped isotope thermometry,32.9,4.4,4.3, Evans et al. 2018
" ODP Site 959, Guinea",3.6,-2.7,-2.9,-9.5, Upper Paleocene to P/E boundary to Lower Ypresian, GDGTs, TEX86,35.3,0.7,0.7," Frieling et al., 2018"
" ODP Site 960, Guinea",3.6,-2.7,-2.9,-9.5, Upper Paleocene to P/E boundary to Lower Ypresian, GDGTs, TEX86,33.8,0.7,0.7," Cramwinckel et al., 2018"
" IB10B Core, Dahomey Basin, Nigria",/,/,-0.7,-1.9, Upper Paleocene to P/E boundary to Lower Ypresian, GDGTs, TEX86,33.8,0.7,0.7," Frieling et al., 2017"
