"lats","sst"
-90,NA
-87.5,-1.64888685072462
-85,-1.62948867057761
-82.5,-1.56956575776255
-80,-1.43979244953708
-77.5,-1.19561287015676
-75,-0.845572414611907
-72.5,-0.252263175105327
-70,0.49777995176952
-67.5,1.06891555677761
-65,1.57990852274277
-62.5,2.93552703145442
-60,3.25573571741178
-57.5,3.47210909296637
-55,4.51167884815571
-52.5,4.66923829671499
-50,5.76105904579163
-47.5,7.05282316321418
-45,9.34682816267014
-42.5,11.930237283512
-40,14.3180504608154
-37.5,16.5057192183377
-35,17.9504122563771
-32.5,19.1511825260363
-30,20.3340459859596
-27.5,21.6162145877707
-25,22.6950785636902
-22.5,23.5818255064917
-20,24.3850525319576
-17.5,25.2553834354176
-15,26.0345801501207
-12.5,26.7914526429895
-10,27.4826249258859
-7.5,27.9650745126936
-5,27.9875781504313
-2.5,27.5241423406099
0,27.0166572771574
2.5,27.0568081537882
5,27.5298153129784
7.5,27.5176870473226
10,27.223835235987
12.5,26.6798600661449
15,25.9476550849708
17.5,25.0451560347048
20,24.3731313138395
22.5,23.5078488190969
25,22.7592934647652
27.5,21.9067884746351
30,20.8065970571418
32.5,19.5721400780014
35,18.2866268925283
37.5,16.8930243174235
40,15.1967164951822
42.5,13.0472742613926
45,10.6232810379356
47.5,8.61823309228775
50,6.71694638352645
52.5,5.20472514378397
55,3.96876560512342
57.5,2.81853563711047
60,1.62800366672066
62.5,0.883509901449239
65,0.113366942107677
67.5,-0.239717933163047
70,-0.586502073552201
72.5,-1.13228781421979
75,-1.4983359336853
77.5,-1.65777786076069
80,NA
82.5,NA
85,NA
87.5,NA
90,NA
