"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no","temperature_stage","ext_temperature_stage_modern","ext_temperature_stage_eocene"
3002,"int",1,5,"Holocene","Hol",32,"#FEF2E0",0.0117,0.00585,0,47900,19.7189372396033,22.2211436213849,29.0291975979687
922,"int",1,5,"Pleistocene","Ple",33,"#FFF2D3",2.588,1.29985,0.0117,15443,21.6525895607218,27.55392245662,30.9841504150065
96,"int",1,5,"Piacenzian","Pia",34,"#FFFFBF",3.6,3.094,2.588,47900,23.1271630611445,27.2088214431809,30.8906359067128
97,"int",1,5,"Zanclean","Zan",34,"#FFFFB3",5.333,4.4665,3.6,47900,23.3325509094419,27.0602086988667,30.8844068666325
98,"int",1,5,"Messinian","Mes",35,"#FFFF73",7.246,6.2895,5.333,47900,21.06321707895,24.1900232368848,29.7905023442984
99,"int",1,5,"Tortonian","Tor",35,"#FFFF66",11.62,9.433,7.246,47900,18.9794610480974,23.4172661212837,29.228447937814
100,"int",1,5,"Serravallian","Ser",35,"#FFFF59",13.82,12.72,11.62,47900,18.9744828129577,17.8429623805962,27.7598455553945
101,"int",1,5,"Langhian","Lan",35,"#FFFF4D",15.97,14.895,13.82,47900,19.4145703476929,16.9758274998686,27.4769020559952
102,"int",1,5,"Burdigalian","Bur",35,"#FFFF41",20.44,18.205,15.97,47900,19.0149466711391,15.9766863494257,27.3161692507452
103,"int",1,5,"Aquitanian","Aqu",35,"#FFFF33",23.03,21.735,20.44,47900,19.7034768197406,19.9570471176938,28.6015307312711
104,"int",1,5,"Chattian","Cha",36,"#FEE6AA",28.1,25.565,23.03,47900,18.0455790027898,24.0059999731233,29.8647788599388
105,"int",1,5,"Rupelian","Rup",36,"#FED99A",33.9,31,28.1,47900,12.5065618434896,8.95342772937512,25.4456694709185
106,"int",1,5,"Priabonian","Pri",37,"#FDCDA1",38,35.95,33.9,47900,14.546116881966,7.94216976880211,25.1763686031846
107,"int",1,5,"Bartonian","Bar",37,"#FDC091",41.3,39.65,38,47900,22.6978573282622,21.703213471704,27.9616691813783
108,"int",1,5,"Lutetian","Lut",37,"#FCB482",47.8,44.55,41.3,47900,22.4189686915239,21.3586289491212,28.5003497531964
109,"int",1,5,"Ypresian","Ypr",37,"#FCA773",56,51.9,47.8,47900,26.7578079640188,22.0340572470204,28.644709256894
110,"int",1,5,"Thanetian","Tha",38,"#FDBF6F",59.2,57.6,56,47900,23.7578866254996,20.806139269173,28.1407202151622
743,"int",1,5,"Selandian","Sel",38,"#FEBF65",61.6,60.4,59.2,47900,22.3142787806802,17.7981376256199,27.2576901005878
111,"int",1,5,"Danian","Dan",38,"#FDB462",66,63.8,61.6,47900,21.6514547375403,17.8773721670841,27.0910624186375
112,"int",1,5,"Maastrichtian","Maa",39,"#F2FA8C",72.1,69.05,66,47900,22.2310738771923,20.3981667558444,27.9405572221358
113,"int",1,5,"Campanian","Cam",39,"#E6F47F",83.6,77.85,72.1,47900,23.6805358141768,19.940784247965,28.0415770580246
114,"int",1,5,"Santonian","San",39,"#D9EF74",86.3,84.95,83.6,47900,31.7853089870744,23.3786555845165,29.8571455543135
115,"int",1,5,"Coniacian","Con",39,"#CCE968",89.8,88.05,86.3,47900,33.9882445809213,25.7182764101429,30.7633061929429
116,"int",1,5,"Turonian","Tur",39,"#BFE35D",93.9,91.85,89.8,47900,35.1098552334318,25.0930909988209,30.5761352640391
