"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no","MST","occupancy","terrestrial","ODP","Lower","Median","Upper","Min","Max"
3002,"int",1,5,"Holocene","Hol",32,"#FEF2E0",0.0117,0.00585,0,47900,48494.43,15,7,8,5.38,16.37,31,0.12,54.49
922,"int",1,5,"Pleistocene","Ple",33,"#FFF2D3",2.588,1.29985,0.0117,15443,55197.81,41,1,40,2.55,4.24,12.47,0.02,54.49
96,"int",1,5,"Piacenzian","Pia",34,"#FFFFBF",3.6,3.094,2.588,47900,45005.92,23,0,23,3.4,3.4,12.48,0.01,36.06
97,"int",1,5,"Zanclean","Zan",34,"#FFFFB3",5.333,4.4665,3.6,47900,58419.46,31,0,31,1.64,2.53,12.49,0.01,54.26
98,"int",1,5,"Messinian","Mes",35,"#FFFF73",7.246,6.2895,5.333,47900,59452.73,34,1,33,1.64,2.89,34.91,0.72,63.22
99,"int",1,5,"Tortonian","Tor",35,"#FFFF66",11.62,9.433,7.246,47900,50710.4,41,2,39,3.49,16.53,35.53,0.27,64.9
100,"int",1,5,"Serravallian","Ser",35,"#FFFF59",13.82,12.72,11.62,47900,46707.38,32,6,26,16.95,38.14,45.54,1.03,60.8
101,"int",1,5,"Langhian","Lan",35,"#FFFF4D",15.97,14.895,13.82,47900,48514.35,29,6,23,28.45,38.99,44.72,0.76,56.69
102,"int",1,5,"Burdigalian","Bur",35,"#FFFF41",20.44,18.205,15.97,47900,55118.3,46,6,40,19.74,39.84,46.32,0.18,60.75
103,"int",1,5,"Aquitanian","Aqu",35,"#FFFF33",23.03,21.735,20.44,47900,41946.77,21,7,14,5.89,21.26,47.68,0.82,57.09
104,"int",1,5,"Chattian","Cha",36,"#FEE6AA",28.1,25.565,23.03,47900,47363.02,40,6,34,5.27,5.6,24.25,0.19,65.04
105,"int",1,5,"Rupelian","Rup",36,"#FED99A",33.9,31,28.1,47900,50777.42,43,11,32,31.42,63.89,63.93,0.64,65.41
106,"int",1,5,"Priabonian","Pri",37,"#FDCDA1",38,35.95,33.9,47900,45606.11,33,8,25,40.26,63.91,63.93,1.42,65.41
107,"int",1,5,"Bartonian","Bar",37,"#FDC091",41.3,39.65,38,47900,44280.95,21,7,14,29.86,29.86,29.86,1.76,65.38
108,"int",1,5,"Lutetian","Lut",37,"#FCB482",47.8,44.55,41.3,47900,39108.58,38,11,27,8.83,23.58,33.04,6.86,65.94
109,"int",1,5,"Ypresian","Ypr",37,"#FCA773",56,51.9,47.8,47900,46137.52,36,10,26,8.48,20.07,36.92,2.61,66.37
110,"int",1,5,"Thanetian","Tha",38,"#FDBF6F",59.2,57.6,56,47900,44030.26,21,1,20,22.25,36.11,36.93,4.04,63.5
743,"int",1,5,"Selandian","Sel",38,"#FEBF65",61.6,60.4,59.2,47900,30523.96,11,0,11,36.73,36.77,37.89,5.96,42.27
111,"int",1,5,"Danian","Dan",38,"#FDB462",66,63.8,61.6,47900,34475.67,14,0,14,35.915,36.58,36.69,5.1,59.12
112,"int",1,5,"Maastrichtian","Maa",39,"#F2FA8C",72.1,69.05,66,47900,56786.91,61,20,41,19.09,30.82,37.42,5.29,65.99
113,"int",1,5,"Campanian","Cam",39,"#E6F47F",83.6,77.85,72.1,47900,47630.05,61,22,39,15.955,30.15,42.9,2.64,65.38
